Split,Model,Akurasi
datauji_30,KNN-3,50.0
datauji_30,KNN-5,50.0
datauji_30,KNN-7,27.77777777777778
datauji_20,KNN-3,58.333333333333336
datauji_20,KNN-5,41.66666666666667
datauji_20,KNN-7,50.0
datauji_10,KNN-3,83.33333333333334
datauji_10,KNN-5,66.66666666666666
datauji_10,KNN-7,50.0
