Actual,Predicted
500_depan,1000_belakang
500_belakang,500_belakang
1000_depan,1000_depan
1000_belakang,1000_belakang
500_depan,1000_depan
500_belakang,500_belakang
500_belakang,500_depan
1000_belakang,1000_depan
1000_depan,1000_depan
1000_depan,500_belakang
500_belakang,500_belakang
1000_belakang,1000_belakang
500_belakang,1000_belakang
1000_belakang,1000_belakang
500_depan,500_depan
1000_belakang,1000_depan
1000_depan,1000_belakang
500_depan,500_depan
