Coin  ,Edge Count ,Edge Area ,Aspect Ratio ,Contrast            ,Dissimilarity       ,Homogeneity         ,Energy               ,Correlation        ,Edge Mean          ,Edge Std           ,Edge Skewness      ,Edge Kurtosis       ,Contour Count ,Total Contour Area
500A  ,   6151875 ,    24125 ,         1.0 ,299.4701805609851   , 8.953599003127444  ,0.20799119515143402 ,0.022579458990545868 ,0.8451175591873428 ,3.7548065185546875 ,30.71444432575111  , 8.057784941119486 , 62.927898157332024 ,         1048 ,            7709.5
500A  ,   3976470 ,    15594 ,         1.0 ,210.61725285867863  , 8.598384357896794  ,0.1714883436727678  ,0.019560425738033054 ,0.8957612667527936 ,2.427044677734375  ,24.758954884133267 ,10.103249988344116 ,100.07566032697449  ,          783 ,            3883.5
500A  ,   5009475 ,    19645 ,         1.0 ,298.5127913653245   , 9.65048316555903   ,0.1800917495169309  ,0.020372050157464273 ,0.8634513838313871 ,3.0575408935546875 ,27.754718005065122 , 8.967301277118715 , 78.41249219461525  ,         1057 ,            5295.5
500A  ,   1285455 ,     5041 ,         1.0 , 42.80372788799844  , 3.8108293833072713 ,0.3069388464957063  ,0.02498386237054899  ,0.9871630107472705 ,0.7845794677734375 ,14.122754665467198 ,17.94485899299373  ,320.01796427842595  ,          121 ,            1256.5
500A  ,   4116720 ,    16144 ,         1.0 ,342.35613394253323  ,10.26644351055512   ,0.1641570093917769  ,0.0228106737952217   ,0.7444470569155832 ,2.512646484375     ,25.1875259039109   , 9.924543918481318 , 96.49657198986482  ,         1060 ,            4731.5
500A  ,   2777460 ,    10892 ,         1.0 ,199.6362752883112   , 7.4126606479671615 ,0.23178317746843    ,0.02926822888750209  ,0.8841690733937025 ,1.69522705078125   ,20.722188668080374 ,12.142035280568935 ,145.4290207545809   ,          271 ,            4269.5
500A  ,   5671710 ,    22242 ,         1.0 ,156.3992816653636   , 3.5891455727130577 ,0.5457709511332149  ,0.053948396623368984 ,0.8697477777436448 ,3.461737060546875  ,29.508631397662004 , 8.406913981736292 , 68.67620269631286  ,          805 ,           11721.5
500A  ,   3437910 ,    13482 ,         1.0 ,104.2181135164191   , 2.6153696735731042 ,0.6141007878072385  ,0.05689200626453532  ,0.9310391967679863 ,2.098333740234375  ,23.036321305155415 ,10.88729963422609  ,116.53329332541868  ,          460 ,            4812.0
500A  ,   2889915 ,    11333 ,         1.0 , 77.57226959538703  , 2.535772576231431  ,0.5273013913006309  ,0.07088802732663138  ,0.8155659094171436 ,1.7638641357421876 ,21.134666733234774 ,11.898568115723851 ,139.57592320451894  ,          349 ,            4205.5
500A  ,   5654880 ,    22176 ,         1.0 ,145.3904380863956   , 3.2759101348709923 ,0.5520654806380689  ,0.07012439703880234  ,0.7692777757926974 ,3.45146484375      ,29.46541914836109  , 8.419940305729591 , 68.89539475204893  ,          746 ,           11051.5
500A  ,   5580675 ,    21885 ,         1.0 ,123.31902304046129  , 3.304866472830336  ,0.5675340766037799  ,0.06906642807684835  ,0.8449428835744142 ,3.4061737060546875 ,29.274088811235902 , 8.478065848206072 , 69.87760052651785  ,            1 ,          146940.5
500A  ,   3485850 ,    13670 ,         1.0 , 89.64609802580142  , 2.782909010946052  ,0.5399991925560885  ,0.05161219304556566  ,0.921245902914815  ,2.127593994140625  ,23.195038527710103 ,10.81027788387433  ,114.86210792658409  ,          437 ,            4311.5
500A  ,   4506360 ,    17672 ,         1.0 ,122.4197688623925   , 2.8746310594214233 ,0.5748430374652772  ,0.05357731276138599  ,0.9157084761036957 ,2.7504638671875    ,26.34014492458442  , 9.472198159120813 , 87.72253796565178  ,          593 ,            7264.0
500A  ,    967215 ,     3793 ,         1.0 , 24.292756181587176 , 1.6508838692337764 ,0.5666094589491107  ,0.06933537253153262  ,0.9480465564416674 ,0.5903411865234375 ,12.255141771802155 ,20.71125102860631  ,426.955919169948    ,            1 ,           54139.0
500A  ,   3543225 ,    13895 ,         1.0 ,103.04348306782644  , 2.727238687451134  ,0.5636186514485667  ,0.0490723213918082   ,0.9337153280777952 ,2.1626129150390625 ,23.383528363244654 ,10.720143268196612 ,112.92147169066149  ,          455 ,            5109.5
500B  ,   7171365 ,    28123 ,         1.0 ,185.71335577111023  , 3.873838814503518  ,0.554892217935499   ,0.05558488539354985  ,0.8506545341711227 ,4.377053833007812  ,33.120841280981075 , 7.434771666726554 , 53.27582973635971  ,          867 ,           16736.0
500B  ,   5052060 ,    19812 ,         1.0 ,256.29310618647384  , 9.48369453674746   ,0.16593909288082792 ,0.018271396576330763 ,0.8810527688392635 ,3.08353271484375   ,27.871000489427054 , 8.928023041896521 , 77.70959543663432  ,          756 ,            5695.5
500B  ,   7315695 ,    28689 ,         1.0 ,366.79603144546513  ,10.37995198885848   ,0.17726324131119137 ,0.019723735652779337 ,0.8363679671235713 ,4.465145874023437  ,33.44659429896669  , 7.357093103483919 , 52.126818933330895 ,         1596 ,            7723.5
500B  ,   6802635 ,    26677 ,         1.0 ,306.3028171422987   , 8.990846120015638  ,0.21321962535871072 ,0.024361950061390986 ,0.8057228820541329 ,4.151998901367188  ,32.272598670879844 , 7.644131937223405 , 56.43275307367862  ,         1205 ,           10483.5
500B  ,   5818335 ,    22817 ,         1.0 ,292.45104573885845  , 8.806331851055512  ,0.19852528169928996 ,0.02175797778837177  ,0.8723357196607429 ,3.5512298583984374 ,29.88230881950748  , 8.295796077221922 , 66.82023255485073  ,          894 ,            7770.5
500B  ,   6436710 ,    25242 ,         1.0 ,283.3921624560203   , 8.696755888389365  ,0.20613705733256085 ,0.025146622719515413 ,0.8250826664814989 ,3.928656005859375  ,31.406574844795788 , 7.869138523051513 , 59.923341094972876 ,          908 ,            9868.0
500B  ,   6779685 ,    26587 ,         1.0 ,255.56757843041436  , 7.822847439405787  ,0.2394546162600574  ,0.023557651378546936 ,0.8864727696464872 ,4.137991333007813  ,32.219013294093024 , 7.657714874192595 , 56.640597094430376 ,          848 ,           11647.5
500B  ,   4285020 ,    16804 ,         1.0 ,116.80486647283035  , 2.672780859069586  ,0.5801861319049291  ,0.06949988602116527  ,0.8076751637697642 ,2.61536865234375   ,25.69199978903923  , 9.72167463592577  , 92.51095772680269  ,          552 ,            9387.0
500B  ,   6190380 ,    24276 ,         1.0 ,150.81822713057073  , 3.1338912236121965 ,0.6102509799783209  ,0.061282104763481456 ,0.866178450978735  ,3.77830810546875   ,30.808975230518072 , 8.031535678731581 , 62.50556535873828  ,          783 ,           11731.0
500B  ,   4257735 ,    16697 ,         1.0 ,342.37418515441755  ,10.582030639171226  ,0.1604912839705338  ,0.019951535119438334 ,0.8005131747221852 ,2.5987152099609374 ,25.61091676995493  , 9.753753519402695 , 93.13570771726062  ,          933 ,            4747.0
500B  ,   6100365 ,    23923 ,         1.0 ,126.42258661551992  , 3.3627363907349492 ,0.5442370319493124  ,0.060805105827154225 ,0.8558191425396448 ,3.7233673095703126 ,30.58750071219369  , 8.093281883673917 , 63.501211648603956 ,          609 ,           12076.0
500B  ,   8584065 ,    33663 ,         1.0 ,199.59770206215796  , 3.93708585809226   ,0.5809347294273395  ,0.07043601358685515  ,0.7292983739540732 ,5.239297485351562  ,36.17417062801352  , 6.759558015683683 , 43.691624567393056 ,         1154 ,           14393.5
500B  ,   4761360 ,    18672 ,         1.0 ,138.7277407887021   , 3.1993824521110246 ,0.5353236270033527  ,0.052533866129905536 ,0.8812666895313865 ,2.906103515625     ,27.066787006234208 , 9.2064046209605   , 82.75788604484349  ,            9 ,           86049.0
500B  ,   3952245 ,    15499 ,         1.0 ,104.81562072419858  , 2.87066006157154   ,0.5506465252736146  ,0.0473686917136088   ,0.9276438513512566 ,2.4122589111328123 ,24.684145301884165 ,10.135067636254616 ,100.71959599145711  ,          489 ,            5661.5
500B  ,   5772180 ,    22636 ,         1.0 ,138.52711468921032  , 3.1954639855355746 ,0.5664346620713816  ,0.05909790852501227  ,0.8671352166468322 ,3.52305908203125   ,29.765216623140677 , 8.330323443477532 , 67.39428867295231  ,          692 ,           12414.0
1000A ,   2008125 ,     7875 ,         1.0 , 28.883877174550427 , 3.5789636679046124 ,0.2869163615442253  ,0.03554487273292039  ,0.977497781924838  ,1.2256622314453125 ,17.636372107464823 ,14.31976338434225  ,203.0556233835482   ,          141 ,            4487.0
1000A ,   1236495 ,     4849 ,         1.0 , 12.763039361806097 , 2.3578693070758403 ,0.3858350210907361  ,0.04527054822253321  ,0.9916061994371775 ,0.7546966552734375 ,13.852006354793698 ,18.299919895844447 ,332.8870681943252   ,           66 ,            1062.0
1000A ,   5073990 ,    19898 ,         1.0 ,271.4038017982799   , 8.342486806098515  ,0.2214128500536103  ,0.02348481072199157  ,0.8601977368465116 ,3.096917724609375  ,27.930684208991167 , 8.90798673921095  , 77.35222774595809  ,          877 ,            6462.5
1000A ,   3639105 ,    14271 ,         1.0 ,110.03910098221264  , 2.59990654319781   ,0.597161369637978   ,0.061434118134276836 ,0.9038205941492072 ,2.2211334228515627 ,23.69505410724015  ,10.574262967297418 ,109.81503730155704  ,          573 ,            6082.5
1000A ,   3268335 ,    12817 ,         1.0 , 87.29796960516028  , 2.5088838936669275 ,0.5927934267168218  ,0.054145749950741305 ,0.9496806327777926 ,1.9948333740234374 ,22.46559926166803  ,11.17309760261942  ,122.83811003766067  ,          483 ,            4411.0
1000A ,   6665445 ,    26139 ,         1.0 ,251.67228120113367  , 8.491903464620798  ,0.2243814085972783  ,0.026313033911644808 ,0.8206476057314829 ,4.068264770507812  ,31.9508487874194   , 7.726350936760898 , 57.69649879798627  ,         1027 ,           10880.5
1000A ,   3325965 ,    13043 ,         1.0 ,100.65364725860047  , 2.3275221120015637 ,0.6400360956154444  ,0.06226316600917107  ,0.9199736370928567 ,2.0300079345703126 ,22.66122439545156  ,11.07354041210712  ,120.62329725856901  ,          534 ,            5562.5
1000A ,   4109580 ,    16116 ,         1.0 ,122.21692301114153  , 4.265371506059422  ,0.37759270974088743 ,0.05023452419402486  ,0.9476476822323864 ,2.50828857421875   ,25.165891099943718 , 9.933422260264066 , 96.67287780070923  ,            2 ,          104194.5
1000A ,   2424030 ,     9506 ,         1.0 , 64.32954090109459  , 2.1495492083659107 ,0.5896282957631931  ,0.08068982632901507  ,0.8993939702268944 ,1.479510498046875  ,19.36714294076754  ,13.013844105697336 ,167.36013840739412  ,            2 ,           74219.5
1000A ,   3975450 ,    15590 ,         1.0 , 87.73859949179045  , 2.4848685496481617 ,0.6186846312132429  ,0.06122444491939603  ,0.9422620119306708 ,2.426422119140625  ,24.75580974398948  ,10.104583867326452 ,100.10261513183342  ,          598 ,            5458.5
1000A ,   3216060 ,    12612 ,         1.0 , 81.97039679437059  , 2.403715060594214  ,0.6191229467222558  ,0.05543661909090494  ,0.954308590964148  ,1.96292724609375   ,22.286618504843837 ,11.26569046144186  ,124.91578157302204  ,          510 ,            4236.5
1000A ,   3258135 ,    12777 ,         1.0 , 75.10151485535573  , 2.32838643471462   ,0.6149187375176169  ,0.06125253263210939  ,0.9553629017050664 ,1.9886077880859374 ,22.430791894783404 ,11.190990741713675 ,123.23827378112084  ,          493 ,            4622.0
1000A ,   1013625 ,     3975 ,         1.0 , 14.096753445074278 , 2.6198366643862387 ,0.34193371209216133 ,0.04402600387611221  ,0.9750705273120793 ,0.6186676025390625 ,12.54501849520476  ,20.228161870938692 ,407.1785326768986   ,           50 ,             948.0
1000A ,   4923030 ,    19306 ,         1.0 ,174.43387045543392  , 4.715699521110241  ,0.40520331347415844 ,0.047078304800450735 ,0.9198764425776619 ,3.004779052734375  ,27.517084898141384 , 9.04857628692153  , 79.87673282023945  ,          738 ,           11403.0
1000A ,   4895235 ,    19197 ,         1.0 ,199.3027206313526   , 4.813349051993746  ,0.44807990547768584 ,0.04973721449438621  ,0.9081381897412808 ,2.9878143310546874 ,27.44021902139433  , 9.075159755238593 , 80.35852458310191  ,           38 ,           70932.0
1000B ,   5104845 ,    20019 ,         1.0 ,118.6581789972635   , 2.9108886336982023 ,0.6145468063826012  ,0.05925916016741761  ,0.9450945897114545 ,3.1157501220703123 ,28.014431679132    , 8.880012366667687 , 76.8546196321705   ,            2 ,          118337.5
1000B ,    785145 ,     3079 ,         1.0 ,  7.695118867279125 , 1.8826738418686473 ,0.43405835212269706 ,0.054838566574889225 ,0.9950370572712588 ,0.4792144775390625 ,11.0440049464394   ,23.002667264000507 ,527.1227012583216   ,           17 ,             487.0
1000B ,   1949475 ,     7645 ,         1.0 , 50.587361341868636 , 1.872305634284597  ,0.628168626779689   ,0.0509719522988413   ,0.9823494344115153 ,1.1898651123046875 ,17.378142151916453 ,14.536667243657638 ,209.31469455283064  ,          237 ,            3823.5
1000B ,    837420 ,     3284 ,         1.0 , 10.482788677677874 , 2.1890802140344015 ,0.39672587862799175 ,0.046392192541162273 ,0.9930685360806665 ,0.51112060546875   ,11.405021267897572 ,22.268942146030966 ,493.90578430327037  ,           30 ,             922.0
1000B ,   1948200 ,     7640 ,         1.0 , 24.664396623338543 , 3.337041267591869  ,0.30565643652582547 ,0.037444273971050476 ,0.9816835966670958 ,1.1890869140625    ,17.37248500925365  ,14.541490525812073 ,209.45494671228286  ,           83 ,            2077.0
1000B ,   9174645 ,    35979 ,         1.0 ,343.5505027120798   ,10.288986146403442  ,0.16747061406475283 ,0.018032599227671423 ,0.868005536415522  ,5.599758911132812  ,37.370860606575036 , 6.523812355951968 , 40.56012765567187  ,         1617 ,           12234.5
1000B ,    754035 ,     2957 ,         1.0 , 13.685856259773264 , 2.430081484558249  ,0.37318485466371454 ,0.0467469322247747   ,0.9913411492660188 ,0.4602264404296875 ,10.823397522640432 ,23.475026819227136 ,549.0768841634348   ,           26 ,            1130.5
1000B ,   2579835 ,    10117 ,         1.0 , 64.8494740764269   , 5.108789215207193  ,0.22669892315141665 ,0.03189446414976478  ,0.9351988391434825 ,1.5746063232421874 ,19.97611642320809  ,12.607595090951618 ,156.95145397738628  ,          277 ,            2243.5
1000B ,   1760010 ,     6902 ,         1.0 , 27.354185398749028 , 3.4542941262705242 ,0.29331925112787727 ,0.036516011402874755 ,0.9736768274043416 ,1.074224853515625  ,16.51585234284241  ,15.309627686429932 ,232.384699897103    ,           67 ,            2248.0
1000B ,   2790720 ,    10944 ,         1.0 , 93.70030602521503  , 2.6352051163017984 ,0.5653262612398862  ,0.04307433465024624  ,0.9733637047459233 ,1.7033203125       ,20.771263312579823 ,12.112568965539294 ,144.7143269449471   ,          452 ,            4559.0
1000B ,    949110 ,     3722 ,         1.0 ,  6.490587128616107 , 1.5804718041438623 ,0.4857234050387999  ,0.050536545877439075 ,0.9969871326576255 ,0.579290771484375  ,12.140163463915492 ,20.909225745726577 ,435.1957212857566   ,           37 ,             693.5
1000B ,   1890060 ,     7412 ,         1.0 , 14.586409670641125 , 2.3833530834636436 ,0.3779271925613591  ,0.046545370352670236 ,0.9867185030155167 ,1.15360107421875   ,17.112494806057395 ,14.766566810709309 ,216.05149537514288  ,           80 ,            2140.5
1000B ,   2516085 ,     9867 ,         1.0 , 42.3140203528147   , 3.762529930609851  ,0.28756261121970705 ,0.03130405070780054  ,0.9843607474846507 ,1.5356964111328124 ,19.729273209414007 ,12.769279663962688 ,161.05450313649106  ,          152 ,            6579.5
1000B ,   3184440 ,    12488 ,         1.0 , 63.67230196931196  , 2.345683273064894  ,0.5773307539481604  ,0.05202381142910311  ,0.9758441265130723 ,1.9436279296875    ,22.17763361004167  ,11.322792528546623 ,126.20563064451187  ,            2 ,          122941.0
